# time   MOSI  MISO
0.00003  90  00
0.00031  00  20
0.00058  00  80
0.00088  0a  00
0.00115  00  aa
0.00141  b0  00
0.00170  00  16
0.00197  00  16
0.00224  a0  50
0.00253  00  00
0.00279  e4  c8
0.00311  00  9c
0.00337  b2  6a
0.00367  00  5a
0.00394  00  02
0.00421  00  46

0.04990  90  00
0.05019  00  20
0.05046  00  80
0.05076  0a  00
0.05103  00  aa
0.05130  b0  00
0.05159  00  16
0.05186  00  16
0.05212  a0  50
0.05241  00  00
0.05268  e4  c8
0.05300  00  9c
0.05327  b2  6a
0.05356  00  5a
0.05383  00  02
0.05410  00  46

0.09977  90  00
0.10006  00  20
0.10033  00  80
0.10063  0a  00
0.10089  00  aa
0.10116  b0  00
0.10145  00  16
0.10171  00  16
0.10199  a0  50
0.10227  00  00
0.10254  e4  c8
0.10285  00  9c
0.10312  b2  6a
0.10342  00  5a
0.10368  00  02
0.10395  00  46

0.14965  90  00
0.14994  00  20
0.15021  00  80
0.15051  0a  00
0.15078  00  aa
0.15104  b0  00
0.15133  00  16
0.15160  00  16
0.15186  a0  50
0.15215  00  00
0.15242  e4  c8
0.15274  00  9c
0.15301  b2  6a
0.15330  00  5a
0.15357  00  02
0.15384  00  46

0.19952  90  00
0.19981  00  20
0.20009  00  80
0.20038  0a  00
0.20065  00  aa
0.20091  b0  00
0.20121  00  16
0.20147  00  16
0.20174  a0  50
0.20203  00  00
0.20230  e4  c8
0.20262  00  9c
0.20289  b2  6a
0.20319  00  5a
0.20346  00  02
0.20373  00  46

0.24940  90  00
0.24968  00  20
0.24996  00  80
0.25026  0a  00
0.25052  00  aa
0.25079  b0  00
0.25108  00  16
0.25135  00  16
0.25162  a0  50
0.25190  00  00
0.25217  e4  c8
0.25248  00  9c
0.25275  b2  6a
0.25305  00  5a
0.25331  00  02
0.25358  00  46

0.29927  90  00
0.29956  00  20
0.29983  00  80
0.30013  0a  00
0.30041  00  aa
0.30067  b0  00
0.30096  00  16
0.30123  00  16
0.30150  a0  50
0.30178  00  00
0.30205  e4  c8
0.30235  00  9c
0.30262  b2  6a
0.30292  00  5a
0.30319  00  02
0.30346  00  46

0.34915  90  00
0.34943  00  20
0.34970  00  80
0.35000  0a  00
0.35026  00  aa
0.35053  b0  00
0.35082  00  16
0.35109  00  16
0.35136  a0  50
0.35164  00  00
0.35190  e4  c8
0.35221  00  9c
0.35248  b2  6a
0.35278  00  5a
0.35305  00  02
0.35332  00  46

0.39902  90  00
0.39930  00  20
0.39958  00  80
0.39987  0a  00
0.40014  00  aa
0.40040  b0  00
0.40070  00  16
0.40096  00  16
0.40123  a0  50
0.40152  00  00
