# time   MOSI  MISO
0.95127  00  00
0.95154  00  25

0.99718  90  00
0.99746  00  20
0.99774  00  84
0.99803  0a  00
0.99830  00  aa
0.99856  b0  00
0.99886  00  16
0.99913  00  16
0.99940  a0  50
0.99969  00  00
0.99996  e4  c8
1.00028  00  9c
1.00055  b2  6a
1.00085  00  5a
1.00112  00  00
1.00139  00  25

1.04705  90  00
1.04733  00  20
1.04761  00  84
1.04791  0a  00
1.04817  00  aa
1.04844  b0  00
1.04873  00  16
1.04900  00  16
1.04927  a0  50
1.04956  00  00
1.04983  e4  c8
1.05016  00  9c
1.05043  b2  6a
1.05072  00  5a
1.05099  00  00
1.05126  00  25

1.09693  90  00
1.09721  00  20
1.09749  00  84
1.09778  0a  00
1.09806  00  aa
1.09832  b0  00
1.09861  00  16
1.09889  00  16
1.09916  a0  50
1.09944  00  00
1.09974  e4  c8
1.10006  00  9c
1.10032  b2  6a
1.10062  00  5a
1.10089  00  00
1.10116  00  25

1.14680  90  00
1.14708  00  20
1.14737  00  84
1.14766  0a  00
1.14793  00  aa
1.14820  b0  00
1.14850  00  16
1.14877  00  16
1.14904  a0  50
1.14932  00  00
1.14960  e4  c8
1.14991  00  9c
1.15018  b2  6a
1.15048  00  5a
1.15075  00  00
1.15102  00  25

1.19667  90  00
1.19696  00  20
1.19724  00  84
1.19753  0a  00
1.19780  00  aa
1.19807  b0  00
1.19836  00  16
1.19863  00  16
1.19890  a0  50
1.19919  00  00
1.19946  e4  c8
1.19977  00  9c
1.20004  b2  6a
1.20034  00  5a
1.20062  00  00
1.20089  00  25

1.24655  90  00
1.24683  00  20
1.24711  00  84
1.24740  0a  00
1.24767  00  aa
1.24794  b0  00
1.24823  00  16
1.24850  00  16
1.24877  a0  50
1.24906  00  00
1.24932  e4  c8
1.24963  00  9c
1.24990  b2  6a
1.25020  00  5a
1.25049  00  00
1.25076  00  25

1.29642  90  00
1.29670  00  20
1.29698  00  84
1.29727  0a  00
1.29754  00  aa
1.29781  b0  00
1.29810  00  16
1.29837  00  16
1.29864  a0  50
1.29892  00  00
1.29919  e4  c8
1.29951  00  9c
1.29978  b2  6a
1.30008  00  5a
1.30035  00  00
1.30062  00  25

1.34629  90  00
1.34658  00  20
1.34686  00  80
1.34726  0a  00
1.34752  00  aa
1.34779  b0  00
1.34808  00  16
1.34835  00  16
1.34862  a0  50
1.34891  00  00
1.34918  e4  c8
1.34950  00  9c
1.34977  b2  6a
1.35006  00  5a
1.35034  00  00
1.35061  00  25

1.39617  90  00
1.39645  00  20
1.39673  00  80
1.39702  0a  00
1.39729  00  aa
1.39756  b0  00
1.39785  00  16
1.39812  00  16
1.39839  a0  50
1.39868  00  00
1.39895  e4  c8
1.39927  00  9c
1.39953  b2  6a
1.39983  00  5a
1.40010  00  00
1.40037  00  25

1.44604  90  00
1.44633  00  20
1.44660  00  80
1.44690  0a  00
1.44717  00  aa
1.44743  b0  00
1.44772  00  16
1.44798  00  16
1.44825  a0  50
1.44854  00  00
1.44881  e4  c8
1.44912  00  9c
1.44939  b2  6a
1.44970  00  5a
1.44996  00  00
1.45023  00  25

1.49591  90  00
1.49620  00  20
1.49648  00  80
1.49677  0a  00
1.49705  00  aa
1.49731  b0  00
1.49760  00  16
1.49787  00  16
