# time   MOSI  MISO
0.00015  00  08
0.00093  0a  00
0.00121  00  aa
0.00147  0a  00
0.00174  00  aa
0.00202  80  00
0.00231  0a  81
0.00259  99  87
0.00287  01  00
0.00314  00  c8
0.00341  00  00
0.00368  00  c8
0.00396  00  00
0.00422  00  00
0.00449  b0  00
0.00479  00  16
0.00506  00  16
0.00532  a0  50
0.00561  00  00
0.00588  e4  c8
0.00620  00  9c
0.00647  00  6a
0.00685  50  00
0.00713  2f  50
0.00741  90  50
0.00770  00  00
0.00798  00  90
0.00825  0c  00

0.01799  90  0c
0.01828  00  00
0.01855  00  90
0.01883  0a  00
0.01910  00  aa
0.01936  b0  00
0.01965  00  16
0.01992  00  16
0.02020  a0  50
0.02048  00  00
0.02075  e4  c8
0.02107  00  9c
0.02134  b2  6a
0.02163  00  5a
0.02190  00  02
0.02217  00  46

0.06600  f0  00
0.06628  b0  11
0.06657  00  16
0.06684  00  16
0.06711  00  50
0.06741  c0  00
0.06769  00  00
0.06796  00  00

0.11115  e0  00
0.11146  00  c2
0.11173  ea  51
0.11205  00  9c
0.11232  00  46
0.11259  00  00
0.11286  00  00
0.11313  00  00
0.11341  e8  00
0.11373  00  22
0.11400  00  16
0.11427  00  00
0.11454  00  00
0.11480  00  00
0.11508  00  00
0.11539  f8  00
0.11567  fc  b3
0.11597  fa  be
0.11627  fe  ba
0.11657  00  c5
0.11700  90  00
0.11729  00  00
0.11757  00  90
0.11785  b0  00
0.11814  7f  16
0.11841  ff  16
0.11868  0a  50
0.11895  00  aa
0.11922  b0  00
0.11951  00  16
0.11977  00  16
0.12004  a0  50
0.12033  00  00
0.12060  e4  c8
0.12091  00  9c
0.12118  b2  6a
0.12148  00  5a
0.12175  00  02
0.12202  00  46

0.12389  f0  00
0.12417  b0  11
0.12446  00  16
0.12473  00  16
0.12500  00  50
0.12530  c0  00
0.12559  00  00
0.12585  00  00

0.17101  e0  00
0.17132  00  c2
0.17159  ea  51
0.17191  00  9c
0.17218  00  46
0.17245  00  00
0.17273  00  00
0.17300  00  00
0.17327  e8  00
0.17361  00  22
0.17388  00  16
0.17415  00  00
0.17442  00  00
0.17469  00  00
0.17496  00  00
0.17527  f8  00
0.17556  fc  b3
0.17586  fa  be
0.17615  fe  ba
0.17645  00  c5
0.17689  90  00
0.17717  00  00
0.17745  00  90
0.17773  b0  00
0.17802  7f  16
0.17829  ff  16
0.17856  0a  50
0.17883  00  aa
0.17910  b0  00
0.17939  00  16
0.17967  00  16
0.17994  a0  50
0.18023  00  00
0.18050  e4  c8
0.18082  00  9c
0.18109  b2  6a
0.18139  00  5a
0.18166  00  02
0.18193  00  46

0.18371  f0  00
0.18400  b0  11
0.18429  00  16
0.18455  00  16
0.18482  00  50
0.18512  c0  00
0.18541  00  00
0.18568  00  00

0.23086  e0  00
0.23117  00  c2
0.23144  ea  51
0.23176  00  9c
0.23203  00  46
0.23230  00  00
0.23257  00  00
0.23284  00  00
0.23311  e8  00
0.23343  00  22
0.23370  00  16
0.23397  00  00
0.23424  00  00
0.23452  00  00
0.23479  00  00
0.23510  f8  00
0.23539  fc  b3
0.23569  fa  be
0.23598  fe  ba
0.23628  00  c5
0.23672  90  00
0.23701  00  00
0.23728  00  90
0.23756  b0  00
0.23786  7f  16
0.23813  ff  16
0.23840  0a  50
0.23867  00  aa
0.23894  b0  00
0.23922  00  16
0.23949  00  16
0.23976  a0  50
0.24004  00  00
0.24031  e4  c8
0.24062  00  9c
0.24089  b2  6a
0.24119  00  5a
0.24146  00  02
0.24173  00  46

0.24352  f0  00
0.24381  b0  11
0.24410  00  16
0.24436  00  16
0.24463  00  50
0.24493  c0  00
0.24522  00  00
0.24548  00  00

0.29072  e0  00
0.29103  00  c2
0.29130  ea  51
0.29162  00  9c
0.29189  00  46
0.29216  00  00
0.29243  00  00
0.29270  00  00
0.29298  e8  00
0.29330  00  22
0.29357  00  16
0.29384  00  00
0.29411  00  00
0.29438  00  00
0.29466  00  00
0.29497  f8  00
0.29526  fc  b3
0.29555  fa  be
0.29585  fe  ba
0.29615  00  c5
0.29658  90  00
0.29687  00  00
0.29715  00  90
0.29756  b0  00
0.29784  7f  16
0.29811  ff  16
0.29841  0a  50
0.29867  00  aa
0.29894  b0  00
0.29923  00  16
0.29949  00  16
0.29977  a0  50
0.30008  00  00
0.30035  e4  c8
0.30066  00  9c
0.30093  b2  6a
0.30123  00  5a
0.30150  00  02
0.30177  00  46

0.30355  f0  00
0.30384  b0  11
0.30413  00  16
0.30440  00  16
0.30467  00  50
0.30497  c0  00
0.30525  00  00
0.30552  00  00

0.35070  e0  00
0.35101  00  c2
0.35128  ea  51
0.35161  00  9c
0.35188  00  46
0.35215  00  00
0.35242  00  00
0.35269  00  00
0.35296  e8  00
0.35329  00  22
0.35356  00  16
0.35383  00  00
0.35410  00  00
0.35437  00  00
0.35464  00  00
0.35495  f8  00
0.35524  fc  b3
0.35554  fa  be
0.35583  fe  ba
0.35614  00  c5
0.35655  90  00
0.35683  00  00
0.35711  00  90
0.35737  b0  00
0.35767  7f  16
0.35793  ff  16
0.35822  0a  50
0.35849  00  aa
0.35876  b0  00
0.35907  00  16
0.35934  00  16
0.35961  a0  50
0.35990  00  00
0.36017  e4  c8
0.36048  00  9c
0.36075  b2  6a
0.36106  00  5a
0.36133  00  02
0.36160  00  46

0.36339  f0  00
0.36368  b0  11
0.36397  00  16
0.36423  00  16
0.36450  00  50
0.36480  c0  00
0.36509  00  00
0.36536  00  00

0.41044  e0  00
0.41075  00  c2
0.41102  ea  51
0.41134  00  9c
0.41161  00  46
0.41188  00  00
0.41216  00  00
0.41243  00  00
0.41270  e8  00
0.41304  00  22
0.41331  00  16
0.41358  00  00
0.41385  00  00
0.41412  00  00
0.41440  00  00
0.41471  f8  00
0.41500  fc  b3
0.41529  fa  be
0.41559  fe  ba
0.41589  00  c5
0.41632  90  00
0.41661  00  00
0.41688  00  90
0.41717  b0  00
0.41745  7f  16
0.41772  ff  16
0.41799  0a  50
0.41826  00  aa
0.41853  b0  00
0.41881  00  16
0.41908  00  16
0.41935  a0  50
0.41964  00  00
0.41992  e4  c8
0.42023  00  9c
0.42050  b2  6a
0.42080  00  5a
0.42107  00  02
0.42134  00  46

0.42313  f0  00
0.42341  b0  11
0.42370  00  16
0.42396  00  16
0.42423  00  50
0.42453  c0  00
0.42482  00  00
0.42508  00  00

0.46930  e0  00
0.46960  00  c2
0.46987  ea  51
0.47019  00  9c
0.47046  00  46
0.47073  00  00
0.47101  00  00
0.47128  00  00
0.47155  e8  00
0.47187  00  22
0.47214  00  16
0.47241  00  00
0.47268  00  00
0.47295  00  00
0.47323  00  00
0.47354  f8  00
0.47382  fc  b3
0.47412  fa  be
0.47442  fe  ba
0.47472  00  c5
0.47515  90  00
0.47544  00  00
0.47572  00  90
0.47600  b0  00
0.47629  7f  16
0.47656  ff  16
0.47683  0a  50
0.47710  00  aa
0.47736  b0  00
0.47766  00  16
0.47792  00  16
0.47819  a0  50
0.47848  00  00
0.47878  e4  c8
0.47910  00  9c
0.47937  b2  6a
0.47967  00  5a
0.47994  00  02
0.48021  00  46

0.48199  f0  00
0.48228  b0  11
0.48257  00  16
0.48283  00  16
0.48310  00  50
0.48340  c0  00
0.48369  00  00
0.48395  00  00

0.52916  e0  00
0.52946  00  c2
0.52973  ea  51
0.53005  00  9c
0.53032  00  46
0.53059  00  00
0.53087  00  00
0.53114  00  00
0.53141  e8  00
0.53173  00  22
0.53200  00  16
0.53227  00  00
0.53254  00  00
0.53282  00  00
0.53309  00  00
0.53340  f8  00
0.53369  fc  b3
0.53399  fa  be
0.53428  fe  ba
0.53458  00  c5
0.53502  90  00
0.53531  00  00
0.53558  00  90
0.53586  b0  00
0.53615  7f  16
0.53641  ff  16
0.53669  0a  50
0.53696  00  aa
0.53722  b0  00
0.53751  00  16
0.53777  00  16
0.53804  a0  50
0.53833  00  00
0.53860  e4  c8
0.53891  00  9c
0.53918  b2  6a
0.53948  00  5a
0.53975  00  02
