# time   MOSI  MISO
0.00015  00  08
0.00093  0a  00
0.00120  00  aa
0.00147  0a  00
0.00174  00  aa
0.00200  80  00
0.00231  0a  81
0.00258  99  87
0.00286  01  00
0.00313  00  c8
0.00340  00  00
0.00367  00  c8
0.00395  00  00
0.00421  00  00
0.00448  b0  00
0.00478  00  16
0.00504  00  16
0.00531  a0  50
0.00560  00  00
0.00587  e4  c8
0.00619  00  9c
0.00646  00  6a
0.00685  50  00
0.00713  2e  50
0.00741  90  50
0.00769  00  00
0.00797  00  90
0.00824  0c  00

0.01828  90  0c
0.01856  00  00
0.01884  00  90
0.01911  0a  00
0.01938  00  aa
0.01965  b0  00
0.01994  00  16
0.02021  00  16
0.02047  a0  50
0.02076  00  00
0.02103  e4  c8
0.02135  00  9c
0.02162  b2  6a
0.02192  00  5a
0.02218  00  02
0.02245  00  46

0.06629  f0  00
0.06657  b0  11
0.06686  00  16
0.06715  00  16
0.06742  00  50
0.06772  c0  00
0.06801  00  00
0.06827  00  00

0.11659  e0  00
0.11689  00  c2
0.11716  ea  51
0.11748  00  9c
0.11775  00  46
0.11803  00  00
0.11830  00  00
0.11857  00  00
0.11884  e8  00
0.11916  00  22
0.11943  00  16
0.11970  00  00
0.11997  00  00
0.12024  00  00
0.12052  00  00
0.12083  f8  00
0.12112  fc  b3
0.12141  fa  be
0.12171  fe  ba
0.12202  00  c5
0.12243  90  00
0.12272  00  00
0.12301  00  90
0.12328  b0  00
0.12357  7f  16
0.12384  ff  16
0.12414  0a  50
0.12440  00  aa
0.12467  b0  00
0.12496  00  16
0.12523  00  16
0.12550  a0  50
0.12579  00  00
0.12606  e4  c8
0.12638  00  9c
0.12665  b2  6a
0.12694  00  5a
0.12721  00  02
0.12748  00  46

0.12915  f0  00
0.12943  b0  11
0.12972  00  16
0.13000  00  16
0.13027  00  50
0.13057  c0  00
0.13086  00  00
0.13112  00  00

0.17943  e0  00
0.17973  00  c2
0.18001  ea  51
0.18033  00  9c
0.18060  00  46
0.18088  00  00
0.18115  00  00
0.18142  00  00
0.18170  e8  00
0.18202  00  22
0.18229  00  16
0.18256  00  00
0.18283  00  00
0.18310  00  00
0.18338  00  00
0.18368  f8  00
0.18397  fc  b3
0.18426  fa  be
0.18456  fe  ba
0.18487  00  c5
0.18528  90  00
0.18557  00  00
0.18586  00  90
0.18613  b0  00
0.18643  7f  16
0.18670  ff  16
0.18699  0a  50
0.18726  00  aa
0.18752  b0  00
0.18781  00  16
0.18808  00  16
0.18835  a0  50
0.18864  00  00
0.18890  e4  c8
0.18922  00  9c
0.18949  b2  6a
0.18979  00  5a
0.19006  00  02
0.19033  00  46

0.19195  f0  00
0.19223  b0  11
0.19252  00  16
0.19278  00  16
0.19305  00  50
0.19335  c0  00
0.19364  00  00
0.19390  00  00

0.23665  e0  00
0.23696  00  c2
0.23723  ea  51
0.23756  00  9c
0.23783  00  46
0.23810  00  00
0.23837  00  00
0.23864  00  00
0.23892  e8  00
0.23924  00  22
0.23951  00  16
0.23978  00  00
0.24005  00  00
0.24032  00  00
0.24060  00  00
0.24093  f8  00
0.24121  fc  b3
0.24151  fa  be
0.24181  fe  ba
0.24210  00  c5
0.24252  90  00
0.24280  00  00
0.24308  00  90
0.24334  b0  00
0.24364  7f  16
0.24390  ff  16
0.24418  0a  50
0.24444  00  aa
0.24473  b0  00
0.24502  00  16
0.24528  00  16
0.24555  a0  50
0.24585  00  00
0.24612  e4  c8
0.24643  00  9c
0.24669  b2  6a
0.24700  00  5a
0.24726  00  02
0.24753  00  46

0.24928  f0  00
0.24957  b0  11
0.24986  00  16
0.25012  00  16
0.25039  00  50
0.25069  c0  00
0.25097  00  00
0.25124  00  00

0.29525  e0  00
0.29556  00  c2
0.29583  ea  51
0.29615  00  9c
0.29642  00  46
0.29670  00  00
0.29697  00  00
0.29724  00  00
0.29763  e8  00
0.29795  00  22
0.29822  00  16
0.29850  00  00
0.29877  00  00
0.29904  00  00
0.29932  00  00
0.29965  f8  00
0.29994  fc  b3
0.30023  fa  be
0.30053  fe  ba
0.30083  00  c5
0.30124  90  00
0.30153  00  00
0.30181  00  90
0.30207  b0  00
0.30236  7f  16
0.30263  ff  16
0.30290  0a  50
0.30317  00  aa
0.30343  b0  00
0.30372  00  16
0.30399  00  16
0.30427  a0  50
0.30455  00  00
0.30482  e4  c8
0.30513  00  9c
0.30540  b2  6a
0.30570  00  5a
0.30597  00  02
0.30624  00  46

0.30786  f0  00
0.30815  b0  11
0.30844  00  16
0.30870  00  16
0.30897  00  50
0.30927  c0  00
0.30958  00  00
0.30985  00  00

0.35159  e0  00
0.35189  00  c2
0.35216  ea  51
0.35248  00  9c
0.35275  00  46
0.35302  00  00
0.35329  00  00
0.35357  00  00
0.35384  e8  00
0.35416  00  22
0.35443  00  16
0.35470  00  00
0.35497  00  00
0.35524  00  00
0.35552  00  00
0.35583  f8  00
0.35611  fc  b3
0.35641  fa  be
0.35670  fe  ba
0.35701  00  c5
0.35742  90  00
0.35771  00  00
0.35798  00  90
0.35825  b0  00
0.35855  7f  16
0.35882  ff  16
0.35909  0a  50
0.35937  00  aa
0.35964  b0  00
0.35992  00  16
0.36019  00  16
0.36046  a0  50
0.36074  00  00
0.36101  e4  c8
0.36132  00  9c
0.36159  b2  6a
0.36189  00  5a
0.36216  00  02
0.36245  00  46

0.36405  f0  00
0.36434  b0  11
0.36463  00  16
0.36490  00  16
0.36517  00  50
0.36549  c0  00
0.36578  00  00
0.36604  00  00

0.40974  e0  00
0.41005  00  c2
0.41034  ea  51
0.41066  00  9c
0.41093  00  46
0.41120  00  00
0.41147  00  00
0.41174  00  00
0.41202  e8  00
0.41233  00  22
0.41260  00  16
0.41287  00  00
0.41314  00  00
0.41341  00  00
0.41369  00  00
0.41400  f8  00
0.41429  fc  b3
0.41458  fa  be
0.41488  fe  ba
0.41517  00  c5
0.41561  90  00
0.41590  00  00
0.41617  00  90
0.41646  b0  00
0.41675  7f  16
0.41702  ff  16
0.41729  0a  50
0.41756  00  aa
0.41782  b0  00
0.41812  00  16
0.41838  00  16
0.41865  a0  50
0.41894  00  00
0.41921  e4  c8
0.41953  00  9c
0.41980  b2  6a
0.42009  00  5a
0.42036  00  02
0.42063  00  46

0.42223  f0  00
0.42251  b0  11
0.42280  00  16
0.42307  00  16
0.42334  00  50
0.42364  c0  00
0.42393  00  00
0.42420  00  00

0.46728  e0  00
0.46758  00  c2
0.46785  ea  51
0.46820  00  9c
0.46847  00  46
0.46874  00  00
0.46901  00  00
0.46928  00  00
0.46956  e8  00
0.46988  00  22
0.47015  00  16
0.47042  00  00
0.47069  00  00
0.47096  00  00
0.47124  00  00
0.47155  f8  00
0.47183  fc  b3
0.47213  fa  be
0.47242  fe  ba
0.47273  00  c5
0.47314  90  00
0.47343  00  00
0.47370  00  90
0.47397  b0  00
0.47426  7f  16
0.47452  ff  16
0.47479  0a  50
0.47508  00  aa
0.47534  b0  00
0.47564  00  16
0.47591  00  16
0.47618  a0  50
0.47647  00  00
0.47674  e4  c8
0.47708  00  9c
0.47735  b2  6a
0.47765  00  5a
0.47792  00  02
0.47819  00  46

0.47979  f0  00
0.48007  b0  11
0.48036  00  16
0.48062  00  16
0.48089  00  50
0.48121  c0  00
0.48150  00  00
0.48177  00  00

0.52476  e0  00
0.52507  00  c2
0.52534  ea  51
0.52566  00  9c
0.52593  00  46
0.52620  00  00
0.52647  00  00
0.52674  00  00
0.52702  e8  00
0.52734  00  22
0.52761  00  16
0.52788  00  00
0.52815  00  00
0.52842  00  00
0.52870  00  00
0.52900  f8  00
0.52929  fc  b3
0.52959  fa  be
0.52988  fe  ba
0.53018  00  c5
0.53059  90  00
0.53087  00  00
0.53115  00  90
0.53142  b0  00
0.53171  7f  16
0.53198  ff  16
0.53225  0a  50
0.53252  00  aa
0.53279  b0  00
0.53308  00  16
0.53335  00  16
0.53362  a0  50
0.53391  00  00
0.53418  e4  c8
0.53449  00  9c
0.53476  b2  6a
0.53506  00  5a
0.53532  00  02
