# time   MOSI  MISO
0.00015  00  08
0.00090  0a  00
0.00117  00  aa
0.00143  0a  00
0.00171  00  aa
0.00198  80  00
0.00227  0a  81
0.00254  99  87
0.00282  01  00
0.00309  00  c8
0.00336  00  00
0.00363  00  c8
0.00391  00  00
0.00418  00  00
0.00445  b0  00
0.00474  00  16
0.00501  00  16
0.00528  a0  50
0.00557  00  00
0.00584  e4  c8
0.00616  00  9c
0.00643  00  6a
0.00683  50  00
0.00711  2f  50
0.00740  90  50
0.00768  00  00
0.00796  00  80
0.00823  0c  00

0.01641  0e  0c
0.01668  0f  0e

0.01905  c0  0f
0.01934  00  00
0.01960  00  00
0.01993  90  00
0.02021  00  00
0.02049  00  80
0.02075  07  00
0.02132  0e  07
0.02159  0f  0e

0.04339  90  0f

0.04997  00  00
0.05029  00  80
0.05056  0a  00
0.05085  00  aa
0.05150  b0  00
0.05180  00  16
0.05208  00  16
0.05267  a0  50
0.05296  00  00
0.05326  e4  c8
0.05384  00  9c
0.05411  b2  6a
0.05441  00  5a
0.05468  00  00
0.05496  00  25

0.09289  90  00
0.09336  00  00
0.09363  00  80
0.09391  0a  00

0.10289  00  aa
0.10315  b0  00
0.10344  00  16
0.10370  00  16
0.10397  a0  50
0.10426  00  00
0.10453  e4  c8
0.10484  00  9c
0.10511  b2  6a
0.10541  00  5a
0.10568  00  00
0.10595  00  25

0.14276  90  00
0.14305  00  00
0.14332  00  80
0.14362  0a  00
0.14389  00  aa
0.14415  b0  00
0.14454  00  16
0.14481  00  16
0.14508  a0  50
0.14538  00  00
0.14565  e4  c8
0.14596  00  9c
0.14623  b2  6a
0.14652  00  5a
0.14679  00  00
0.14706  00  25

0.19275  90  00
0.19304  00  00
0.19332  00  80
0.19359  0a  00
0.19386  00  aa
0.19412  b0  00
0.19441  00  16
0.19468  00  16
0.19495  a0  50
0.19526  00  00
0.19552  e4  c8
0.19584  00  9c
0.19611  b2  6a
0.19641  00  5a
0.19667  00  00
0.19694  00  25

0.24251  90  00
0.24280  00  00
0.24307  00  80
0.24337  0a  00
0.24364  00  aa
0.24390  b0  00
0.24419  00  16
0.24446  00  16
0.24473  a0  50
0.24502  00  00
0.24529  e4  c8
0.24560  00  9c
0.24587  b2  6a
0.24629  00  5a
0.24655  00  00
0.24682  00  25

0.29238  90  00
0.29266  00  00
0.29294  00  80
0.29324  0a  00
0.29350  00  aa
0.29377  b0  00
0.29416  00  16
0.29443  00  16
0.29470  a0  50
0.29500  00  00
0.29527  e4  c8
0.29558  00  9c
0.29585  b2  6a
0.29615  00  5a
0.29642  00  00
0.29669  00  25

0.34237  90  00
0.34266  00  00
0.34293  00  80
0.34321  0a  00
0.34348  00  aa
0.34374  b0  00
0.34403  00  16
0.34429  00  16
0.34457  a0  50
0.34487  00  00
0.34514  e4  c8
0.34546  00  9c
