# time   MOSI  MISO
0.00015  00  08
0.00093  0a  00
0.00120  00  aa
0.00147  0a  00
0.00174  00  aa
0.00200  80  00
0.00229  0a  81
0.00256  99  87
0.00284  01  00
0.00311  00  c8
0.00338  00  00
0.00366  00  c8
0.00393  00  00
0.00420  00  00
0.00447  b0  00
0.00476  00  16
0.00503  00  16
0.00530  a0  50
0.00558  00  00
0.00585  e4  c8
0.00618  00  9c
0.00645  00  6a
0.00683  50  00
0.00711  2f  50
0.00739  90  50
0.00767  00  00
0.00794  00  90
0.00821  0c  00

0.01826  90  0c
0.01855  00  00
0.01882  00  90
0.01910  0a  00
0.01937  00  aa
0.01963  b0  00
0.01993  00  16
0.02019  00  16
0.02046  a0  50
0.02075  00  00
0.02102  e4  c8
0.02134  00  9c
0.02161  b2  6a
0.02191  00  5a
0.02217  00  02
0.02243  00  46

0.06626  f0  00
0.06655  b0  11
0.06684  00  16
0.06710  00  16
0.06737  00  50
0.06767  c0  00
0.06796  00  00
0.06823  00  00

0.11359  e0  00
0.11392  00  c2
0.11419  ea  51
0.11451  00  9c
0.11478  00  46
0.11505  00  00
0.11532  00  00
0.11559  00  00
0.11587  e8  00
0.11619  00  22
0.11646  00  16
0.11673  00  00
0.11701  00  00
0.11728  00  00
0.11755  00  00
0.11786  f8  00
0.11815  fc  b3
0.11845  fa  be
0.11874  fe  ba
0.11905  00  c5
0.11946  90  00
0.11975  00  00
0.12002  00  90
0.12028  b0  00
0.12058  7f  16
0.12084  ff  16
0.12113  0a  50
0.12140  00  aa
0.12167  b0  00
0.12196  00  16
0.12223  00  16
0.12250  a0  50
0.12279  00  00
0.12305  e4  c8
0.12337  00  9c
0.12364  b2  6a
0.12394  00  5a
0.12421  00  02
0.12448  00  46

0.12615  f0  00
0.12643  b0  11
0.12672  00  16
0.12699  00  16
0.12726  00  50
0.12756  c0  00
0.12785  00  00
0.12812  00  00

0.17370  e0  00
0.17401  00  c2
0.17428  ea  51
0.17460  00  9c
0.17487  00  46
0.17514  00  00
0.17541  00  00
0.17568  00  00
0.17596  e8  00
0.17628  00  22
0.17655  00  16
0.17682  00  00
0.17709  00  00
0.17736  00  00
0.17763  00  00
0.17796  f8  00
0.17825  fc  b3
0.17855  fa  be
0.17887  fe  ba
0.17917  00  c5
0.17958  90  00
0.17986  00  00
0.18014  00  90
0.18041  b0  00
0.18070  7f  16
0.18096  ff  16
0.18124  0a  50
0.18150  00  aa
0.18177  b0  00
0.18206  00  16
0.18233  00  16
0.18260  a0  50
0.18288  00  00
0.18315  e4  c8
0.18346  00  9c
0.18375  b2  6a
0.18405  00  5a
0.18432  00  02
0.18459  00  46

0.18622  f0  00
0.18650  b0  11
0.18679  00  16
0.18705  00  16
0.18732  00  50
0.18762  c0  00
0.18791  00  00
0.18818  00  00

0.23581  e0  00
0.23612  00  c2
0.23639  ea  51
0.23673  00  9c
0.23700  00  46
0.23727  00  00
0.23754  00  00
0.23781  00  00
0.23809  e8  00
0.23841  00  22
0.23868  00  16
0.23895  00  00
0.23922  00  00
0.23949  00  00
0.23976  00  00
0.24007  f8  00
0.24036  fc  b3
0.24065  fa  be
0.24095  fe  ba
0.24125  00  c5
0.24167  90  00
0.24195  00  00
0.24223  00  90
0.24250  b0  00
0.24279  7f  16
0.24305  ff  16
0.24332  0a  50
0.24361  00  aa
0.24387  b0  00
0.24416  00  16
0.24443  00  16
0.24471  a0  50
0.24499  00  00
0.24526  e4  c8
0.24558  00  9c
0.24585  b2  6a
0.24615  00  5a
0.24641  00  02
0.24671  00  46

0.24843  f0  00
0.24871  b0  11
0.24900  00  16
0.24926  00  16
0.24954  00  50
0.24986  c0  00
0.25015  00  00
0.25041  00  00

0.29630  e0  00
0.29660  00  c2
0.29687  ea  51
0.29720  00  9c
0.29761  00  46
0.29788  00  00
0.29815  00  00
0.29842  00  00
0.29869  e8  00
0.29901  00  22
0.29928  00  16
0.29955  00  00
0.29982  00  00
0.30009  00  00
0.30037  00  00
0.30070  f8  00
0.30099  fc  b3
0.30128  fa  be
0.30158  fe  ba
0.30188  00  c5
0.30229  90  00
0.30257  00  00
0.30285  00  90
0.30312  b0  00
0.30340  7f  16
0.30367  ff  16
0.30394  0a  50
0.30421  00  aa
0.30447  b0  00
0.30476  00  16
0.30503  00  16
0.30530  a0  50
0.30558  00  00
0.30585  e4  c8
0.30617  00  9c
0.30646  b2  6a
0.30676  00  5a
0.30703  00  02
0.30730  00  46

0.30894  f0  00
0.30923  b0  11
0.30952  00  16
0.30978  00  16
0.31005  00  50
0.31035  c0  00
0.31064  00  00
0.31091  00  00

0.35658  e0  00
0.35689  00  c2
0.35716  ea  51
0.35749  00  9c
0.35776  00  46
0.35803  00  00
0.35830  00  00
0.35857  00  00
0.35885  e8  00
0.35917  00  22
0.35944  00  16
0.35971  00  00
0.35998  00  00
0.36025  00  00
0.36052  00  00
0.36083  f8  00
0.36112  fc  b3
0.36144  fa  be
0.36173  fe  ba
0.36203  00  c5
0.36246  90  00
0.36275  00  00
0.36303  00  90
0.36329  b0  00
0.36358  7f  16
0.36385  ff  16
0.36412  0a  50
0.36439  00  aa
0.36465  b0  00
0.36494  00  16
0.36521  00  16
0.36547  a0  50
0.36576  00  00
0.36603  e4  c8
0.36634  00  9c
0.36661  b2  6a
0.36691  00  5a
0.36718  00  02
0.36745  00  46

0.36905  f0  00
0.36933  b0  11
0.36962  00  16
0.36988  00  16
0.37015  00  50
0.37047  c0  00
0.37076  00  00
0.37102  00  00

0.41604  e0  00
0.41635  00  c2
0.41662  ea  51
0.41695  00  9c
0.41722  00  46
0.41749  00  00
0.41776  00  00
0.41803  00  00
0.41830  e8  00
0.41862  00  22
0.41889  00  16
0.41916  00  00
0.41943  00  00
0.41970  00  00
0.41998  00  00
0.42031  f8  00
0.42060  fc  b3
0.42089  fa  be
0.42119  fe  ba
0.42149  00  c5
0.42190  90  00
0.42218  00  00
0.42246  00  90
0.42273  b0  00
0.42302  7f  16
0.42328  ff  16
0.42356  0a  50
0.42383  00  aa
0.42409  b0  00
0.42438  00  16
0.42465  00  16
0.42492  a0  50
0.42521  00  00
0.42548  e4  c8
0.42579  00  9c
0.42606  b2  6a
0.42636  00  5a
0.42663  00  02
0.42690  00  46

0.42852  f0  00
0.42881  b0  11
0.42910  00  16
0.42936  00  16
0.42963  00  50
0.42993  c0  00
0.43022  00  00
0.43049  00  00

0.47670  e0  00
0.47700  00  c2
0.47727  ea  51
0.47759  00  9c
0.47786  00  46
0.47816  00  00
0.47843  00  00
0.47870  00  00
0.47897  e8  00
0.47930  00  22
0.47956  00  16
0.47984  00  00
0.48011  00  00
0.48038  00  00
0.48065  00  00
0.48096  f8  00
0.48125  fc  b3
0.48155  fa  be
0.48184  fe  ba
0.48215  00  c5
0.48256  90  00
0.48284  00  00
0.48311  00  90
0.48338  b0  00
0.48368  7f  16
0.48394  ff  16
0.48424  0a  50
0.48451  00  aa
0.48477  b0  00
0.48506  00  16
0.48533  00  16
0.48559  a0  50
0.48588  00  00
0.48615  e4  c8
0.48646  00  9c
0.48673  b2  6a
0.48703  00  5a
0.48729  00  02
0.48756  00  46

0.48919  f0  00
0.48947  b0  11
0.48976  00  16
0.49003  00  16
0.49030  00  50
0.49060  c0  00
0.49088  00  00
0.49115  00  00

0.53865  e0  00
0.53896  00  c2
0.53923  ea  51
0.53956  00  9c
0.53983  00  46
0.54010  00  00
0.54037  00  00
0.54064  00  00
0.54091  e8  00
0.54124  00  22
0.54151  00  16
0.54178  00  00
0.54205  00  00
0.54232  00  00
0.54259  00  00
0.54290  f8  00
0.54319  fc  b3
0.54348  fa  be
0.54378  fe  ba
0.54408  00  c5
0.54449  90  00
0.54477  00  00
0.54505  00  90
0.54532  b0  00
0.54561  7f  16
0.54589  ff  16
0.54616  0a  50
0.54643  00  aa
0.54669  b0  00
0.54712  00  16
0.54739  00  16
0.54766  a0  50
0.54795  00  00
0.54822  e4  c8
0.54853  00  9c
0.54880  b2  6a
0.54910  00  5a
0.54937  00  02
