# time   MOSI  MISO
0.94103  00  00
0.94130  00  80
0.94161  0a  00
0.94189  00  aa
0.94216  b0  00
0.94246  00  16
0.94273  00  16
0.94300  a0  50
0.94328  00  00
0.94355  e4  c8
0.94385  00  9c
0.94413  b2  6a
0.94447  00  5a
0.94473  00  00
0.94500  00  25

0.99058  90  00
0.99086  00  00
0.99114  00  80
0.99146  0a  00
0.99173  00  aa
0.99201  b0  00
0.99231  00  16
0.99258  00  16
0.99285  a0  50
0.99314  00  00
0.99340  e4  c8
0.99372  00  9c
0.99400  b2  6a
0.99433  00  5a
0.99459  00  00
0.99486  00  25

1.04050  90  00
1.04078  00  00
1.04105  00  80
1.04136  0a  00
1.04164  00  aa
1.04191  b0  00
1.04220  00  16
1.04247  00  16
1.04274  a0  50
1.04302  00  00
1.04330  e4  c8
1.04360  00  9c
1.04387  b2  6a
1.04418  00  5a
1.04445  00  00
1.04472  00  25

1.09037  90  00
1.09065  00  00
1.09094  00  80
1.09124  0a  00
1.09151  00  aa
1.09177  b0  00
1.09207  00  16
1.09236  00  16
1.09263  a0  50
1.09291  00  00
1.09318  e4  c8
1.09349  00  9c
1.09376  b2  6a
1.09406  00  5a
1.09433  00  00
1.09460  00  25

1.14020  90  00
1.14049  00  00
1.14076  00  80
1.14107  0a  00
1.14134  00  aa
1.14160  b0  00
1.14190  00  16
1.14216  00  16
1.14243  a0  50
1.14272  00  00
1.14298  e4  c8
1.14330  00  9c
1.14357  b2  6a
1.14387  00  5a
1.14413  00  00
1.14440  00  25

1.19011  90  00
1.19042  00  00
1.19071  00  80
1.19101  0a  00
1.19128  00  aa
1.19155  b0  00
1.19185  00  16
1.19212  00  16
1.19239  a0  50
1.19267  00  00
1.19294  e4  c8
1.19325  00  9c
1.19353  b2  6a
1.19382  00  5a
1.19409  00  00
1.19436  00  25

1.23999  90  00
1.24027  00  00
1.24054  00  80
1.24087  0a  00
1.24113  00  aa
1.24141  b0  00
1.24170  00  16
1.24198  00  16
1.24224  a0  50
1.24253  00  00
1.24279  e4  c8
1.24310  00  9c
1.24337  b2  6a
1.24368  00  5a
1.24395  00  00
1.24421  00  25

1.28982  90  00
1.29012  00  00
1.29041  00  80
1.29073  0a  00
1.29100  00  aa
1.29127  b0  00
1.29157  00  16
1.29184  00  16
1.29211  a0  50
1.29239  00  00
1.29266  e4  c8
1.29297  00  9c
1.29324  b2  6a
1.29355  00  5a
1.29382  00  00
1.29408  00  25

1.33973  90  00
1.34001  00  00
1.34029  00  80
1.34061  0a  00
1.34088  00  aa
1.34115  b0  00
1.34144  00  16
1.34171  00  16
1.34198  a0  50
1.34226  00  00
1.34253  e4  c8
1.34284  00  9c
1.34311  b2  6a
1.34343  00  5a
1.34370  00  00
1.34398  00  25

1.38959  90  00
1.38987  00  00
1.39015  00  80
1.39047  0a  00
1.39074  00  aa
1.39102  b0  00
1.39131  00  16
1.39158  00  16
1.39185  a0  50
1.39214  00  00
1.39240  e4  c8
1.39273  00  9c
1.39300  b2  6a
1.39330  00  5a
1.39356  00  00
1.39383  00  25

1.43946  90  00
1.43975  00  00
1.44002  00  80
1.44034  0a  00
1.44061  00  aa
1.44089  b0  00
1.44121  00  16
1.44147  00  16
1.44176  a0  50
1.44205  00  00
1.44231  e4  c8
1.44262  00  9c
1.44289  b2  6a
1.44318  00  5a
1.44345  00  00
1.44372  00  25

1.48934  90  00
1.48962  00  00
1.48990  00  80
1.49022  0a  00
1.49051  00  aa
1.49077  b0  00
1.49107  00  16
1.49133  00  16
1.49161  a0  50
1.49190  00  00
1.49217  e4  c8
1.49248  00  9c
1.49275  b2  6a
1.49305  00  5a
1.49332  00  00
1.49360  00  25

1.53921  90  00
1.53949  00  00
1.53977  00  80
1.54009  0a  00
1.54036  00  aa
1.54063  b0  00
1.54092  00  16
1.54119  00  16
1.54146  a0  50
1.54175  00  00
1.54201  e4  c8
1.54232  00  9c
1.54259  b2  6a
1.54293  00  5a
1.54320  00  00
1.54347  00  25

1.58908  90  00
1.58936  00  00
1.58967  00  80
1.58996  0a  00
1.59023  00  aa
1.59049  b0  00
1.59079  00  16
1.59106  00  16
1.59133  a0  50
1.59162  00  00
1.59189  e4  c8
1.59220  00  9c
1.59247  b2  6a
1.59278  00  5a
1.59305  00  00
1.59332  00  25

1.63897  90  00
1.63926  00  00
1.63953  00  80
1.63983  0a  00
1.64009  00  aa
1.64036  b0  00
1.64066  00  16
1.64094  00  16
1.64120  a0  50
1.64149  00  00
1.64175  e4  c8
1.64207  00  9c
1.64236  b2  6a
1.64266  00  5a
1.64293  00  00
1.64320  00  25

1.68883  90  00
1.68912  00  00
1.68939  00  80
1.68970  0a  00
1.68997  00  aa
1.69023  b0  00
1.69056  00  16
1.69083  00  16
1.69111  a0  50
1.69140  00  00
1.69168  e4  c8
1.69199  00  9c
1.69226  b2  6a
1.69255  00  5a
1.69282  00  00
1.69309  00  25

1.73870  90  00
1.73899  00  00
1.73926  00  80
1.73957  0a  00
1.73986  00  aa
1.74013  b0  00
1.74044  00  16
1.74071  00  16
1.74098  a0  50
1.74126  00  00
1.74154  e4  c8
1.74186  00  9c
1.74213  b2  6a
1.74242  00  5a
1.74269  00  00
1.74296  00  25

1.78856  90  00
1.78885  00  00
1.78913  00  80
1.78944  0a  00
1.78971  00  aa
1.78998  b0  00
1.79028  00  16
1.79055  00  16
1.79082  a0  50
1.79111  00  00
1.79139  e4  c8
1.79170  00  9c
1.79197  b2  6a
1.79228  00  5a
1.79255  00  00
1.79282  00  25

1.83843  90  00
1.83872  00  00
1.83902  00  80
1.83933  0a  00
1.83959  00  aa
1.83986  b0  00
1.84016  00  16
1.84043  00  16
1.84070  a0  50
1.84098  00  00
1.84126  e4  c8
1.84158  00  9c
1.84185  b2  6a
1.84215  00  5a
1.84242  00  00
1.84269  00  25

1.88833  90  00
1.88862  00  00
1.88889  00  80
1.88920  0a  00
1.88947  00  aa
1.88973  b0  00
